feature,importance
Fwd IAT Min,0.002039999999999975
Init_Win_bytes_forward,0.0019099999999999673
Init_Win_bytes_backward,0.0005649999999999377
URG Flag Count,0.0003299999999999637
min_seg_size_forward,0.00029999999999996696
Flow IAT Std,0.0002649999999999708
Bwd Header Length,0.00025499999999997194
Fwd Header Length.1,0.00022499999999997522
Bwd Packets/s,0.00021499999999997633
Bwd IAT Total,0.00020999999999997686
Bwd IAT Max,0.00017499999999998073
Bwd IAT Mean,0.00015999999999998237
Subflow Fwd Bytes,0.00014499999999998404
FIN Flag Count,0.00014499999999998404
Subflow Fwd Packets,0.00013499999999998512
Avg Fwd Segment Size,0.00012999999999998568
Fwd Header Length,0.00011999999999998679
Flow IAT Max,9.999999999998899e-05
Total Backward Packets,9.999999999998899e-05
Fwd Packet Length Mean,9.499999999998954e-05
Flow Duration,8.999999999999009e-05
Max Packet Length,7.999999999999118e-05
Total Length of Bwd Packets,7.999999999999118e-05
Min Packet Length,5.9999999999993395e-05
Total Fwd Packets,5.4999999999993944e-05
PSH Flag Count,5.4999999999993944e-05
Total Length of Fwd Packets,5.4999999999993944e-05
Flow Packets/s,4.999999999999449e-05
Fwd IAT Mean,4.999999999999449e-05
Subflow Bwd Packets,4.499999999999504e-05
Packet Length Variance,4.499999999999504e-05
Fwd Packets/s,4.499999999999504e-05
Bwd Packet Length Max,3.999999999999559e-05
Fwd Packet Length Std,3.499999999999615e-05
Bwd Packet Length Mean,3.499999999999615e-05
Idle Mean,2.9999999999996697e-05
Fwd Packet Length Min,2.4999999999997247e-05
Fwd IAT Std,1.9999999999997796e-05
ACK Flag Count,1.9999999999997796e-05
Fwd IAT Total,1.4999999999998349e-05
Average Packet Size,1.4999999999998349e-05
Packet Length Std,1.4999999999998349e-05
Idle Max,1.4999999999998349e-05
Flow Bytes/s,1.4999999999998349e-05
Avg Bwd Segment Size,9.999999999998898e-06
Active Max,4.999999999999449e-06
Fwd Avg Bulk Rate,0.0
Fwd Avg Packets/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bulk Rate,0.0
ECE Flag Count,0.0
Active Mean,0.0
Down/Up Ratio,0.0
CWE Flag Count,0.0
RST Flag Count,0.0
Active Std,0.0
Bwd URG Flags,0.0
Fwd URG Flags,0.0
Bwd PSH Flags,0.0
Fwd PSH Flags,0.0
Idle Std,0.0
SYN Flag Count,0.0
Active Min,-4.999999999999449e-06
Idle Min,-4.999999999999449e-06
Subflow Bwd Bytes,-4.999999999999449e-06
act_data_pkt_fwd,-1.4999999999998349e-05
Flow IAT Mean,-1.4999999999998349e-05
Bwd Packet Length Std,-1.9999999999997796e-05
Bwd IAT Std,-2.00000000000089e-05
Bwd Packet Length Min,-2.4999999999997247e-05
Flow IAT Min,-2.4999999999997247e-05
Fwd Packet Length Max,-3.999999999999559e-05
Fwd IAT Max,-4.999999999999449e-05
Packet Length Mean,-8.00000000000023e-05
Bwd IAT Min,-8.499999999999064e-05
