feature,importance
Fwd Packet Length Mean,0.068338951641624
Bwd Packet Length Std,0.061353645483308315
Fwd Packet Length Max,0.058009276642707316
Bwd Packet Length Mean,0.047563372547441016
Avg Fwd Segment Size,0.04533109011707954
Avg Bwd Segment Size,0.0405891734204184
Bwd Packet Length Max,0.036194153390531676
Init_Win_bytes_forward,0.03316332283249498
Total Length of Fwd Packets,0.03284183934516812
Subflow Fwd Packets,0.03221515127936305
Total Length of Bwd Packets,0.03163321214160325
Subflow Fwd Bytes,0.030854006581706804
Fwd IAT Std,0.030342264251104575
Total Fwd Packets,0.03027969095442714
Bwd Packet Length Min,0.02820691342288974
Fwd Header Length,0.028032918826415665
Fwd Header Length.1,0.025331654886691344
Subflow Bwd Bytes,0.02510416958606902
Bwd Header Length,0.022430992679864547
Bwd Packets/s,0.021967556068788027
Fwd IAT Total,0.020800701229731197
Fwd IAT Mean,0.020278411387177384
act_data_pkt_fwd,0.018549721629782145
Average Packet Size,0.017514947006303284
Subflow Bwd Packets,0.01709679749442441
Fwd IAT Max,0.016829389505934732
Init_Win_bytes_backward,0.0145094815018304
Fwd Packet Length Std,0.013476063636435678
Total Backward Packets,0.012990498555748704
Packet Length Std,0.010877265169815768
Packet Length Mean,0.010006404799155344
Flow IAT Std,0.009222562309634927
Fwd IAT Min,0.00896009339525292
Max Packet Length,0.007349414330889935
Packet Length Variance,0.005518276479022852
Flow IAT Max,0.005447584148625617
Bwd IAT Max,0.004556048643187518
Flow Duration,0.004396121937592367
Bwd IAT Mean,0.004050269441212052
Flow IAT Mean,0.00396840545650516
Flow Bytes/s,0.003609204971507163
Min Packet Length,0.0035028522808076444
Flow IAT Min,0.003450296647711428
Down/Up Ratio,0.003327912048147655
Flow Packets/s,0.0031298432457356686
URG Flag Count,0.0030648178543510934
Fwd Packets/s,0.00301585022954832
Bwd IAT Std,0.002860380672170006
Bwd IAT Total,0.0026661669886676818
Idle Mean,0.0020977894609530263
Idle Min,0.002073837867744188
Idle Max,0.001786560280170404
min_seg_size_forward,0.0015690845454869645
Fwd Packet Length Min,0.0015413274381565034
Bwd IAT Min,0.0011532705609079137
PSH Flag Count,0.0008397727086038911
ACK Flag Count,0.0007467980353395751
FIN Flag Count,0.000659864447973748
Active Mean,0.0006570345003679445
Active Max,0.000548307725816595
Active Min,0.0005447389535999453
SYN Flag Count,0.0003679854689475755
Fwd PSH Flags,0.00027942066655641895
Active Std,0.0002213307291938107
Idle Std,0.00010373751357577465
RST Flag Count,0.0
Bwd URG Flags,0.0
Bwd PSH Flags,0.0
Fwd URG Flags,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
CWE Flag Count,0.0
ECE Flag Count,0.0
